## Translation glossary

English term | EN acronym | French translation | FR acronym
AAP – Law Management Committee Secretariat | — | PAA - Secrétariat du comité de gestion de la loi | —
Aboriginal Affairs Portfolio | AAP | Portefeuille des affaires autochtones | PAA
Aboriginal Justice Strategy | AJS | Stratégie relative à la justice applicable aux Autochtones | SRJAA
Aboriginal Law Directorate | — | Direction du droit autochtone | —
Aboriginal Law Group | ALG | Groupe des droits autochtone | GDA
Aboriginal Law Services | ALS | Service du droit des Autochtones | SDA
Abuse of Authority | — | abus de pouvoir | —
Access to Information and Privacy | ATIP | Accès à l'information et protection des renseignements personnels | AIPRP
Accessibility plan | — | Plan sur l'accessibilité | —
Accessibility Plan team | — | Équipe du Plan sur l'accessibilité | —
Accounting Operations Client Services | AOCS | Opérations comptables et services à la clientèle | OCSC
Accounting Operations Division | AOD | Division des opérations comptables | DOC
Acquisition Card | AC | Carte d'achat | CA
Acting | — | par intérim | —
Action Items | — | Les éléments d'action ou les actions | —
Action Plan for Official Languages | APOL | Plan d'action pour les langues officielles | PALO
Admin Hub | — | Pôle Admin | —
Administrative Services | AS | Services administratifs | SA
Administrative Support | AS | Support administratif | SA
Administrative Tribunals Support Service of Canada | ATSSC | Service canadien d'appui aux tribunaux administratifs | SCDATA
Administrator | — | Administrateur ou Administratrice | —
Advisory Committee for Racialized Persons | ACRP | Comité consultatif des personnes racisées | CCPR
Advisory Committee on Indigenous Peoples | ACIP | Comité consultatif des Autochtones | CCDA
Advisory Committee on Persons with Disabilities | ACPD | Comité consultatif concernant les personnes en situation de handicap | CCPSH
Advisory Committee on Persons with Disabilities | — | Comité consultatif sur les personnes handicapées | —
Advisory Committee on Sexual Orientation, Gender Identity and Expression | ACSOGIE | Comité consultatif sur l'orientation sexuelle, l'identité et l'expression de genre | CCOSIEG
Advisory Committee on Visible Minorities | — | Comité consultatif sur les minorités visibles | —
Advisory Committee on Women at Justice | ACWJ | Comité consultatif des femmes à Justice | CCFJ
Affirmation of Aboriginal Affiliation Form | — | Formulaire d’affirmation d’affiliation autochtone | —
Agenda | — | Ordre du jour | —
Annex | — | Annexe | —
Annual Report | AR | Rapport annuel | RA
Anti Money Laundering | — | Anti-blanchiment d'argent | —
Anti Terrorism Financing | — | lutte contre le financement d’activités terroristes | —
Anti-Discrimination and Anti-Racism Secretariat | ARADS | Secrétariat de lutte contre le racisme et la discrimination | SLCRD
Artificial Intelligence | AI | Intelligence artificielle | IA
As time permits | — | Si le temps le permet | —
Assessment of Modern Treaties Implications | — | l’évaluation des répercussions des traités modernes | —
Assessment, Benefit and Service Branch | — | Direction générale de cotisation, de prestation et de service | —
Asset Master Record | AMR | Fiche immobilisation | FI
Assistant Deputy Attorney General | ADAG | Sous-procureur général adjoint | SPGA
Assistant Deputy Attorney General's Office | ADAGO | Bureau de la Sous-procureure générale adjointe déléguée | BSPGA
Assistant Deputy Minister | ADM | Sous-ministre adjoint | SMA
Assistant Deputy Minister's Office | ADMO | Bureau du sous-ministre adjoint | BSMA
Associate Deputy Minister | ADM | Sous-ministre délégué(e) | SMD
Association of French Speaking Jurists of New Brunswick | — | Association des juristes d’expression française du Nouveau-Brunswick | —
Association of Professional Executives of the Public Service of Canada | APEX | Association professionnelle des Cadres de la fonction publique du Canada | APEX
Atlantic Region Office (Halifax) | ARO | Bureau des régions de l'Atlantique (Halifax) | BRA
Atlantic Regional Office | ARO | Bureau régional de l'Atlantique | BRA
Attendance | — | Liste de présence | —
Attorney General | AG | Procureur Général | PG
Attorney General of Canada | AGC | Procureur Général du Canada | PGC
Audit, Evaluation and Risk Branch | — | Direction générale de l’audit et de l’évaluation | —
Authority to Operate | ATO | Autorisation pour opérer | APO
Blanket Hospitality Authority | BHA | Autorisation générale pour l'accueil | AGA
Blanket Travel Authority | BTA | Autorisation générale de voyager | AGV
BMU Network | — | Réseau UGA | —
Branch | — | Direction générale | —
Branch Documents | — | Documents du secteur | —
Briefing | — | Information en bref | —
Briefing Note | BN | Note de breffage | NB
British Columbia Regional Office | BCRO | Bureau régional de la Colombie-Britannique | BRCB
British Columbia Regional Office - PSDI | — | Bureau de la Colombie-Britannique - SPDI | —
Brookfield Global Integrated Solutions | BGIS | Brookfield Global Integrated Solutions | BGIS
Budget Implementation Act | — | Loi d'exécution du budget | —
Budget Management Framework | BMF | Cadre de gestion de budget | CGB
Building Emergency Evacuation Teams | BEET | Équipes d'urgence et d'évacuation des immeubles | ÉUÉI
